,super_bowl,network,avg_us_viewers,total_us_viewers,rating_household,share_household,rating_18_49,share_18_49,ad_cost,,,,,,,,,
0,52,NBC,103390000,NaN,43.1,68,33.4,78.0,5000000,,,,,,,,,
1,51,Fox,111319000,172000000.0,45.3,73,37.1,79.0,5000000,,,,,,,,,
2,50,CBS,111864000,167000000.0,46.6,72,37.7,79.0,5000000,,,,,,,,,
3,49,NBC,114442000,168000000.0,47.5,71,39.1,79.0,4500000,,,,,,,,,
4,48,Fox,112191000,167000000.0,46.7,69,39.3,77.0,4000000,,,,,,,,,
5,47,CBS,108693000,164100000.0,46.3,69,39.7,77.0,4000000,,,,,,,,,
6,46,NBC,111346000,163500000.0,47.0,71,40.5,NaN,3500000,,,,,,,,,
7,45,Fox,111041000,162900000.0,46.0,69,39.9,NaN,3100000,,,,,,,,,
8,44,CBS,106476000,153400000.0,45.0,68,38.6,NaN,2800000,,,,,,,,,
9,43,NBC,98732000,151600000.0,42.0,64,36.7,NaN,3000000,,,,,,,,,
10,42,Fox,97448000,148300000.0,43.1,65,37.5,NaN,2699963,,,,,,,,,
11,41,CBS,93184000,139800000.0,42.6,64,35.2,NaN,2385365,,,,,,,,,
12,40,ABC,90745000,141400000.0,41.6,62,NaN,NaN,2500000,,,,,,,,,
13,39,Fox,86072000,NaN,41.1,62,NaN,NaN,2400000,,,,,,,,,
14,38,CBS,89795000,144400000.0,41.4,63,NaN,NaN,2302200,,,,,,,,,
15,37,ABC,88637000,138500000.0,40.7,61,NaN,NaN,2200000,,,,,,,,,
16,36,Fox,86801000,NaN,40.4,61,NaN,NaN,2200000,,,,,,,,,
17,35,CBS,84335000,NaN,40.4,61,NaN,NaN,2200000,,,,,,,,,
18,34,ABC,88465000,NaN,43.3,63,37.9,NaN,2100000,,,,,,,,,
19,33,Fox,83720000,NaN,40.2,61,36.4,NaN,1600000,,,,,,,,,
20,32,NBC,90000000,NaN,44.5,67,NaN,NaN,1291100,,,,,,,,,
21,31,Fox,87870000,NaN,43.3,65,NaN,NaN,1200000,,,,,,,,,
22,30,NBC,94080000,NaN,46.0,68,41.2,NaN,1085000,,,,,,,,,
23,29,ABC,83420000,NaN,41.3,62,NaN,NaN,1150000,,,,,,,,,
24,28,NBC,90000000,NaN,45.5,66,NaN,NaN,900000,,,,,,,,,
25,27,NBC,90990000,NaN,45.1,66,NaN,NaN,850000,,,,,,,,,
26,26,CBS,79590000,NaN,40.3,61,NaN,NaN,850000,,,,,,,,,
27,25,ABC,79510000,NaN,41.9,63,NaN,NaN,800000,,,,,,,,,
28,24,CBS,73852000,NaN,39.0,67,NaN,NaN,700400,,,,,,,,,
29,23,NBC,81590000,NaN,43.5,68,NaN,NaN,675000,,,,,,,,,
30,22,ABC,80140000,NaN,41.9,62,NaN,NaN,645000,,,,,,,,,
31,21,CBS,87190000,NaN,45.8,66,NaN,NaN,600000,,,,,,,,,
32,20,NBC,92570000,NaN,48.3,70,NaN,NaN,550000,,,,,,,,,
33,19,ABC,85530000,NaN,46.4,63,NaN,NaN,525000,,,,,,,,,
34,18,CBS,77620000,NaN,46.4,71,NaN,NaN,368200,,,,,,,,,
35,17,NBC,81770000,NaN,48.6,69,NaN,NaN,400000,,,,,,,,,
36,16,CBS,85240000,NaN,49.1,73,NaN,NaN,324300,,,,,,,,,
37,15,NBC,68290000,NaN,44.4,63,NaN,NaN,275000,,,,,,,,,
38,14,CBS,76240000,NaN,46.3,67,NaN,NaN,222000,,,,,,,,,
39,13,NBC,74740000,NaN,47.1,74,NaN,NaN,185000,,,,,,,,,
40,12,CBS,78940000,NaN,47.2,67,NaN,NaN,162300,,,,,,,,,
41,11,NBC,62050000,NaN,44.4,73,NaN,NaN,125000,,,,,,,,,
42,10,CBS,57710000,NaN,42.3,78,NaN,NaN,110000,,,,,,,,,
43,9,NBC,56050000,NaN,42.4,72,NaN,NaN,107000,,,,,,,,,
44,8,CBS,51700000,NaN,41.6,73,NaN,NaN,103500,,,,,,,,,
45,7,NBC,53320000,NaN,42.7,72,NaN,NaN,88100,,,,,,,,,
46,6,CBS,56640000,NaN,44.2,74,NaN,NaN,86100,,,,,,,,,
47,5,NBC,46040000,NaN,39.9,75,NaN,NaN,72500,,,,,,,,,
48,4,CBS,44270000,NaN,39.4,69,NaN,NaN,78200,,,,,,,,,
49,3,NBC,41660000,NaN,36.0,70,NaN,NaN,55000,,,,,,,,,
50,2,CBS,39120000,NaN,36.8,68,NaN,NaN,54500,,,,,,,,,
51,1,CBS,26750000,51180000.0,22.6,43,NaN,NaN,42500,,,,,,,,,
52,1,NBC,24430000,NaN,18.5,36,NaN,NaN,37500,,,,,,,,,
